consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_inmueble,horas_alto_consumo,categoria
611,False,15,Casa,11,Ineficiente
354,False,8,Departamento,9,Ineficiente
449,False,13,Departamento,10,Ineficiente
616,True,13,Casa,11,Ineficiente
646,True,18,Casa,7,Ineficiente
524,True,12,Casa,6,Ineficiente
694,False,23,Casa,3,Moderado
375,True,7,Departamento,12,Ineficiente
288,False,6,Departamento,10,Ineficiente
455,False,14,Departamento,7,Moderado
718,True,22,Casa,9,Ineficiente
367,False,11,Departamento,10,Moderado
317,False,4,Departamento,10,Ineficiente
600,True,12,Casa,9,Ineficiente
632,True,16,Casa,11,Ineficiente
704,True,22,Casa,9,Ineficiente
442,True,10,Casa,4,Moderado
464,False,13,Casa,4,Moderado
715,False,24,Casa,3,Moderado
528,True,15,Casa,2,Moderado
387,True,9,Departamento,5,Ineficiente
533,True,13,Casa,3,Moderado
584,True,15,Casa,3,Ineficiente
679,True,17,Casa,12,Ineficiente
568,True,10,Casa,12,Ineficiente
373,True,9,Departamento,6,Ineficiente
651,False,21,Casa,5,Moderado
560,False,17,Casa,2,Eficiente
761,True,19,Casa,10,Ineficiente
484,False,13,Casa,5,Moderado
409,False,13,Departamento,6,Moderado
695,False,21,Casa,8,Moderado
458,True,9,Casa,3,Moderado
412,False,9,Departamento,9,Ineficiente
385,False,8,Departamento,12,Ineficiente
279,True,6,Departamento,3,Moderado
855,True,24,Casa,12,Ineficiente
519,False,10,Casa,11,Ineficiente
311,False,7,Departamento,6,Moderado
576,False,19,Casa,3,Eficiente
511,False,14,Casa,3,Moderado
481,True,11,Casa,5,Ineficiente
599,True,17,Casa,5,Ineficiente
330,True,8,Departamento,9,Ineficiente
430,False,9,Casa,7,Moderado
444,True,8,Departamento,11,Ineficiente
552,True,11,Casa,9,Ineficiente
488,False,12,Casa,8,Moderado
529,False,9,Casa,11,Moderado
650,True,19,Casa,5,Ineficiente
457,True,13,Departamento,3,Ineficiente
448,True,9,Departamento,10,Ineficiente
311,True,7,Departamento,3,Ineficiente
421,False,14,Departamento,2,Moderado
613,True,15,Casa,9,Ineficiente
348,False,8,Departamento,11,Ineficiente
701,False,19,Casa,10,Ineficiente
527,False,16,Casa,2,Eficiente
537,True,9,Casa,8,Ineficiente
573,True,15,Casa,3,Moderado
694,True,18,Casa,7,Ineficiente
574,True,11,Casa,12,Ineficiente
383,False,12,Departamento,6,Moderado
678,True,23,Casa,2,Moderado
501,False,15,Casa,3,Moderado
439,True,11,Casa,3,Ineficiente
687,True,17,Casa,11,Ineficiente
467,False,12,Departamento,11,Ineficiente
689,True,21,Casa,7,Ineficiente
500,True,13,Departamento,12,Ineficiente
327,True,9,Departamento,2,Moderado
660,True,14,Casa,12,Ineficiente
485,False,14,Casa,5,Moderado
479,True,8,Departamento,11,Ineficiente
346,True,5,Departamento,12,Ineficiente
328,True,7,Departamento,6,Ineficiente
254,False,5,Departamento,3,Moderado
647,True,19,Casa,3,Moderado
704,True,19,Casa,8,Ineficiente
629,True,17,Casa,8,Ineficiente
342,True,7,Departamento,7,Ineficiente
309,True,9,Departamento,2,Moderado
518,True,13,Casa,4,Moderado
680,True,17,Casa,10,Ineficiente
625,True,15,Casa,11,Ineficiente
459,True,13,Casa,2,Moderado
381,False,12,Departamento,3,Moderado
419,False,12,Departamento,9,Ineficiente
403,True,8,Departamento,8,Ineficiente
