consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_inmueble,horas_alto_consumo,categoria,region
421,False,11,Casa,2,Moderado,Centro
309,False,5,Departamento,12,Ineficiente,Centro
390,True,11,Departamento,2,Moderado,Sur
759,True,21,Casa,12,Ineficiente,Centro
755,True,21,Casa,8,Ineficiente,Sur
651,True,16,Casa,8,Ineficiente,Norte
520,False,13,Casa,3,Moderado,Centro
479,True,12,Departamento,4,Ineficiente,Sur
343,False,8,Departamento,3,Moderado,Norte
447,True,11,Departamento,7,Ineficiente,Centro
759,False,23,Casa,9,Moderado,Norte
458,True,12,Departamento,9,Ineficiente,Centro
409,True,13,Departamento,2,Ineficiente,Centro
825,True,24,Casa,12,Ineficiente,Centro
615,False,15,Casa,10,Ineficiente,Norte
770,True,21,Casa,12,Ineficiente,Centro
492,False,9,Casa,9,Moderado,Norte
684,True,18,Casa,10,Ineficiente,Centro
680,True,18,Casa,10,Ineficiente,Centro
606,False,13,Casa,12,Ineficiente,Sur
386,True,12,Departamento,7,Ineficiente,Centro
575,True,17,Casa,4,Moderado,Centro
644,True,15,Casa,2,Moderado,Sur
588,False,14,Casa,12,Ineficiente,Centro
702,True,15,Casa,9,Ineficiente,Sur
367,True,8,Departamento,11,Ineficiente,Centro
429,True,9,Casa,4,Moderado,Centro
761,True,23,Casa,8,Ineficiente,Norte
659,True,16,Casa,11,Ineficiente,Centro
744,False,20,Casa,7,Moderado,Norte
321,False,9,Departamento,4,Moderado,Centro
803,True,24,Casa,7,Ineficiente,Centro
403,False,9,Casa,4,Eficiente,Centro
470,False,12,Departamento,10,Ineficiente,Centro
359,False,8,Departamento,2,Moderado,Norte
484,True,13,Departamento,9,Ineficiente,Centro
519,True,12,Casa,6,Ineficiente,Centro
431,False,8,Casa,5,Eficiente,Sur
413,True,14,Departamento,2,Moderado,Centro
697,True,15,Casa,10,Ineficiente,Sur
604,False,13,Casa,10,Ineficiente,Centro
716,True,24,Casa,6,Ineficiente,Centro
772,True,19,Casa,12,Ineficiente,Norte
417,True,11,Departamento,10,Ineficiente,Centro
501,False,10,Casa,11,Ineficiente,Centro
380,True,6,Departamento,10,Ineficiente,Centro
578,False,15,Casa,8,Moderado,Centro
691,True,18,Casa,9,Ineficiente,Centro
656,True,21,Casa,2,Ineficiente,Centro
589,True,15,Casa,5,Ineficiente,Centro
570,True,14,Departamento,11,Ineficiente,Norte
436,True,7,Departamento,11,Ineficiente,Sur
360,True,9,Departamento,5,Moderado,Norte
480,False,13,Departamento,10,Ineficiente,Norte
649,True,20,Casa,4,Moderado,Centro
452,True,8,Departamento,11,Ineficiente,Centro
590,True,12,Casa,11,Ineficiente,Centro
417,False,11,Casa,2,Eficiente,Centro
560,True,9,Casa,12,Ineficiente,Centro
670,True,20,Casa,6,Ineficiente,Centro
790,False,23,Casa,8,Moderado,Sur
576,True,9,Casa,5,Ineficiente,Sur
481,True,9,Departamento,10,Ineficiente,Centro
547,True,12,Casa,7,Ineficiente,Centro
562,False,15,Casa,7,Moderado,Centro
768,True,22,Casa,4,Ineficiente,Norte
733,True,20,Casa,11,Ineficiente,Centro
338,False,5,Departamento,11,Ineficiente,Centro
762,True,23,Casa,6,Ineficiente,Sur
444,False,10,Departamento,11,Ineficiente,Norte
401,True,8,Departamento,7,Ineficiente,Centro
467,True,10,Casa,5,Ineficiente,Centro
685,True,22,Casa,4,Moderado,Centro
397,True,10,Departamento,6,Moderado,Norte
522,False,12,Departamento,8,Moderado,Sur
536,True,12,Departamento,12,Ineficiente,Centro
323,True,5,Departamento,7,Ineficiente,Centro
446,False,11,Casa,3,Eficiente,Centro
530,True,14,Casa,2,Moderado,Centro
504,False,11,Casa,6,Moderado,Centro
325,False,7,Departamento,6,Moderado,Norte
332,False,5,Departamento,7,Moderado,Norte
514,False,10,Casa,4,Moderado,Sur
695,True,22,Casa,2,Moderado,Centro
387,False,8,Casa,5,Moderado,Norte
407,False,9,Casa,5,Eficiente,Centro
422,False,12,Departamento,11,Ineficiente,Centro
422,True,11,Departamento,3,Ineficiente,Norte
355,False,11,Departamento,9,Moderado,Centro
668,False,22,Casa,7,Moderado,Norte
720,False,21,Casa,4,Moderado,Norte
296,True,4,Departamento,2,Moderado,Norte
514,True,9,Departamento,12,Ineficiente,Sur
675,False,21,Casa,4,Moderado,Norte
368,True,4,Departamento,9,Ineficiente,Norte
761,True,24,Casa,5,Ineficiente,Centro
706,False,23,Casa,4,Moderado,Sur
663,True,15,Casa,12,Ineficiente,Centro
562,True,14,Casa,5,Ineficiente,Centro
744,True,19,Casa,12,Ineficiente,Norte
624,True,16,Casa,5,Ineficiente,Centro
349,True,10,Departamento,3,Ineficiente,Centro
474,True,8,Casa,5,Ineficiente,Centro
697,True,17,Casa,12,Ineficiente,Centro
431,True,7,Departamento,10,Ineficiente,Centro
705,False,24,Casa,5,Moderado,Norte
673,True,24,Casa,2,Ineficiente,Centro
402,True,12,Departamento,2,Moderado,Norte
704,True,24,Casa,2,Moderado,Centro
532,False,9,Casa,6,Moderado,Sur
653,False,15,Casa,7,Moderado,Sur
691,True,20,Casa,7,Ineficiente,Sur
451,True,12,Departamento,7,Ineficiente,Centro
328,True,8,Departamento,10,Ineficiente,Centro
305,False,9,Departamento,2,Moderado,Centro
412,True,6,Departamento,11,Ineficiente,Centro
299,True,4,Departamento,7,Ineficiente,Centro
454,False,8,Casa,9,Ineficiente,Centro
299,False,5,Departamento,9,Moderado,Centro
705,True,24,Casa,4,Ineficiente,Centro
254,False,4,Departamento,6,Moderado,Centro
565,True,13,Departamento,11,Ineficiente,Sur
701,False,21,Casa,5,Moderado,Norte
428,True,9,Casa,2,Moderado,Centro
655,True,14,Casa,10,Ineficiente,Sur
665,False,24,Casa,6,Moderado,Centro
260,True,7,Departamento,3,Moderado,Centro
375,True,9,Departamento,3,Ineficiente,Centro
539,True,9,Casa,12,Ineficiente,Centro
553,True,8,Casa,8,Ineficiente,Sur
763,True,23,Casa,5,Ineficiente,Centro
461,False,14,Casa,2,Eficiente,Centro
665,True,18,Casa,6,Ineficiente,Norte
713,True,22,Casa,3,Moderado,Norte
499,True,11,Departamento,8,Ineficiente,Sur
574,True,9,Casa,10,Ineficiente,Centro
686,True,21,Casa,2,Moderado,Centro
362,True,7,Departamento,3,Moderado,Norte
713,True,16,Casa,12,Ineficiente,Centro
428,True,8,Departamento,7,Ineficiente,Sur
377,False,9,Departamento,9,Ineficiente,Centro
571,True,11,Casa,8,Ineficiente,Norte
620,True,16,Casa,10,Ineficiente,Centro
509,True,11,Casa,3,Ineficiente,Centro
675,False,19,Casa,10,Ineficiente,Centro
