region,tipo_inmueble,cantidad_equipos,horas_alto_consumo,uso_horario_pico,consumo_kwh,categoria
Centro,Casa,11,2,True,208,Moderado
Centro,Departamento,5,4,False,97,Eficiente
Centro,Casa,23,2,False,295,Moderado
Centro,Casa,21,4,True,326,Moderado
Centro,Casa,21,3,True,278,Moderado
Norte,Casa,16,4,True,279,Moderado
Centro,Casa,13,3,False,193,Eficiente
Centro,Departamento,12,6,True,173,Moderado
Centro,Casa,19,6,True,265,Ineficiente
Centro,Casa,11,2,True,190,Moderado
Centro,Casa,23,4,True,330,Ineficiente
Centro,Departamento,12,2,False,162,Eficiente
Centro,Departamento,13,4,True,176,Moderado
Centro,Casa,24,2,True,285,Moderado
Centro,Casa,15,6,True,240,Ineficiente
Centro,Casa,21,6,True,264,Ineficiente
Norte,Casa,9,2,True,228,Moderado
Centro,Casa,18,4,True,268,Ineficiente
Centro,Casa,18,5,False,285,Moderado
Centro,Casa,13,4,True,194,Moderado
Centro,Casa,21,2,False,273,Eficiente
Centro,Casa,17,4,True,282,Ineficiente
Sur,Casa,15,3,True,306,Moderado
Centro,Casa,14,4,False,222,Eficiente
Sur,Casa,15,6,False,293,Eficiente
Centro,Casa,15,6,True,266,Ineficiente
Centro,Casa,9,3,False,163,Eficiente
Norte,Casa,23,4,True,317,Ineficiente
Centro,Casa,16,5,True,253,Ineficiente
Norte,Casa,20,4,True,328,Ineficiente
Centro,Casa,19,6,True,313,Ineficiente
Centro,Casa,24,6,True,339,Ineficiente
Centro,Casa,9,2,True,199,Moderado
Centro,Departamento,12,6,True,157,Ineficiente
Centro,Departamento,8,2,True,167,Ineficiente
Centro,Departamento,13,6,False,196,Moderado
Centro,Casa,12,6,True,244,Ineficiente
Sur,Casa,8,5,True,255,Moderado
Centro,Casa,20,2,False,233,Eficiente
Sur,Casa,15,2,True,273,Moderado
Centro,Casa,13,6,True,229,Ineficiente
Centro,Casa,24,2,True,299,Moderado
Centro,Casa,19,6,True,305,Moderado
Centro,Departamento,11,6,False,175,Moderado
Centro,Casa,10,4,True,194,Moderado
Centro,Casa,21,2,True,318,Moderado
Centro,Casa,15,3,True,248,Moderado
Centro,Casa,18,2,True,247,Moderado
Centro,Casa,21,2,True,275,Moderado
Centro,Casa,15,5,False,218,Eficiente
Centro,Departamento,14,3,False,177,Eficiente
Centro,Casa,14,3,False,186,Eficiente
Centro,Departamento,9,5,True,178,Moderado
Norte,Departamento,13,5,True,237,Ineficiente
Centro,Casa,20,2,False,263,Eficiente
Centro,Departamento,8,4,True,166,Moderado
Centro,Casa,12,5,False,220,Moderado
Centro,Casa,11,3,False,199,Eficiente
Centro,Casa,9,3,False,198,Moderado
Centro,Casa,20,2,True,270,Moderado
Sur,Casa,23,4,True,327,Moderado
Sur,Casa,9,6,True,265,Moderado
Centro,Departamento,9,5,False,169,Moderado
Centro,Casa,12,5,True,226,Moderado
Centro,Casa,15,2,False,246,Eficiente
Norte,Casa,22,4,True,326,Moderado
Centro,Casa,20,3,True,298,Ineficiente
Centro,Departamento,5,3,False,86,Eficiente
Sur,Casa,23,6,True,371,Ineficiente
Norte,Departamento,10,3,True,199,Ineficiente
Centro,Casa,9,5,True,255,Ineficiente
Centro,Casa,10,6,True,235,Ineficiente
Centro,Casa,22,4,True,312,Moderado
Norte,Departamento,10,6,True,188,Moderado
Sur,Casa,12,4,True,275,Moderado
Centro,Casa,13,3,False,228,Eficiente
Centro,Casa,21,2,False,250,Eficiente
Centro,Casa,11,6,True,217,Moderado
Centro,Casa,14,6,True,293,Ineficiente
Centro,Casa,11,5,True,221,Moderado
Norte,Departamento,7,5,False,172,Moderado
Norte,Casa,14,4,False,228,Eficiente
Centro,Casa,10,2,False,171,Eficiente
Centro,Casa,22,5,True,301,Ineficiente
Centro,Casa,8,5,False,192,Eficiente
Centro,Casa,9,3,True,226,Moderado
Centro,Casa,17,3,False,222,Eficiente
Norte,Casa,23,5,True,353,Ineficiente
Centro,Departamento,11,4,True,184,Ineficiente
Norte,Casa,22,2,False,280,Eficiente
Norte,Casa,21,5,False,303,Moderado
Norte,Casa,21,4,True,340,Ineficiente
Centro,Casa,13,4,True,246,Ineficiente
Norte,Casa,21,5,True,302,Moderado
Norte,Casa,24,4,True,335,Moderado
Centro,Casa,24,6,True,334,Ineficiente
Centro,Casa,23,4,False,269,Moderado
Centro,Casa,15,5,True,260,Moderado
Centro,Casa,14,4,False,203,Eficiente
Norte,Casa,19,5,False,290,Moderado
Centro,Casa,16,3,False,256,Moderado
Centro,Casa,21,5,False,270,Eficiente
Centro,Casa,8,4,False,190,Eficiente
Centro,Casa,17,5,True,289,Ineficiente
Centro,Departamento,7,2,True,135,Ineficiente
Norte,Casa,24,5,True,346,Ineficiente
Centro,Casa,24,5,True,340,Ineficiente
